School ID,School Name,Network ,SQRP Total Points Earned,SY 2017-2018 SQRP Rating,SY 2017-2018 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight
400009,GLOBAL CITIZENSHIP,Charter,4.4,Level 1+,Not Applicable,94,100,5,17.5,76,100,4,17.5,65.9,100,4,10,,,,,91,100,5,1.25,89,100,5,1.25,,,,,,,,,75,100,5,1.25,88,100,5,1.25,,,,,68,100,3,5,53,100,3,5,11,100,2,2.5,7,100,1,2.5,96.2,5,20,Well Organized,5,10,100,5,5
400011,LOCKE A,Charter,,Inability to Rate,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,3,,Not Enough Data,,,99.3,5,
400017,ASPIRA - HAUGAN,Charter,2.8,Level 2,Not Applicable,46,100,3,16.25,35,100,2,16.25,50.1,100,3,10,,,,,48,100,3,1.25,68,100,4,1.25,8,100,1,1.25,,,,,37,100,3,1.25,32,100,3,1.25,4,100,1,1.25,51,100,3,7.5,47,100,3,7.5,,,,,,,,,94.4,3,20,Partially Organized,2,10,99.3,5,5
400021,CATALYST - CIRCLE ROCK,Charter,3.2,Level 2+,Not Applicable,79,100,4,17.5,28,100,2,17.5,52.5,100,3,10,79,100,5,1.25,,,,,,,,,36,100,3,1.25,27,100,2,1.25,,,,,,,,,1,100,1,1.25,46,100,3,5,28,100,2,5,28,100,2,2.5,49,100,3,2.5,95.7,4,20,Moderately Organized,3,10,99.8,5,5
400023,CICS - AVALON/SOUTH SHORE,Charter,2.6,Level 2+,Not Applicable,6,100,1,17.5,12,100,2,17.5,46.5,100,2,10,6,100,1,1.25,,,,,,,,,1,100,1,1.25,12,100,2,1.25,,,,,,,,,1,100,1,1.25,63,100,3,5,64,100,3,5,89,97,4,2.5,87,97,4,2.5,95.9,4,20,Moderately Organized,3,10,99.6,5,5
400024,CICS - BASIL,Charter,2.7,Level 2+,Not Applicable,68,100,3,16.25,42,100,3,16.25,56.4,100,3,10,66,100,4,1.25,75,100,5,1.25,,,,,15,100,2,1.25,34,100,3,1.25,86,100,5,1.25,,,,,2,100,1,1.25,54,100,3,5,55,100,3,5,48,99,3,2.5,49,99,3,2.5,93.7,2,20,Not Yet Organized,1,10,99.9,5,5
400025,CICS - BUCKTOWN,Charter,3.6,Level 1,Not Applicable,70,100,4,16.25,61,100,3,16.25,58.2,100,3,10,87,100,5,1.25,60,100,4,1.25,,,,,4,100,1,1.25,40,100,3,1.25,63,100,4,1.25,,,,,7,100,1,1.25,75,100,4,5,56,100,3,5,96,99,5,2.5,96,99,5,2.5,94.8,3,20,Well Organized,5,10,99.9,5,5
400026,CICS - LOOMIS,Charter,,Inability to Rate,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,100,2,,28,99,2,,92.3,2,,Moderately Organized,3,,97.6,4,
400027,CICS - IRVING PARK,Charter,3.7,Level 1,Not Applicable,78,100,4,17.5,61,100,3,17.5,59,100,3,10,,,,,76,100,5,1.25,,,,,99,100,5,1.25,,,,,60,100,4,1.25,,,,,91,100,5,1.25,84,100,4,5,79,100,4,5,82,100,4,2.5,80,100,4,2.5,94.3,3,20,Well Organized,5,10,100,5,5
